State,Day 0,Population,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May
Alabama,13-Mar,4903185,1077,1233,1432,1580,1796,1968,2119,2369,2769,2968,3191,3525,3734,3876,4113,4345,4530,4644,4837,5025,,,,,,,,,,,
Alaska,13-Mar,710249,133,143,157,171,185,191,213,226,235,246,257,272,277,285,293,300,309,314,319,321,,,,,,,,,,,
Arizona,4-Mar,7278717,1413,1598,1769,2019,2269,2456,2575,2726,3018,3112,3393,3539,3702,3806,3962,4234,4507,4719,4929,5064,,,,,,,,,,,
Arkansas,12-Mar,3017804,584,643,704,743,830,875,946,1000,1119,1171,1226,1280,1410,1480,1569,1620,1695,1739,1781,1923,,,,,,,,,,,
California,26-Jan,39512223,8155,9191,10701,12026,13438,14336,15865,16957,18309,19472,19472,21794,22348,23338,24424,26182,27528,28963,30333,30978,,,,,,,,,,,
Colorado,6-Mar,5758736,2966,3342,3728,4173,4565,4950,5172,5429,5655,6510,6510,6893,7684,7691,7941,8280,8675,9047,9433,9730,,,,,,,,,,,
Connecticut,8-Mar,3565287,3557,38224,4914,5276,5675,6906,7781,7781,9784,10538,11510,12035,13381,13989,14755,15884,16809,16809,17550,19815,,,,,,,,,,,
DC,8-Mar,705749,586,653,757,902,998,1097,1211,1440,1523,1660,1778,1875,1955,2058,2197,2350,2476,2666,2793,2927,,,,,,,,,,,
Delaware,11-Mar,973764,368,393,450,593,673,673,928,928,1207,1326,1479,1479,1625,1761,2014,2075,2323,2323,2538,2745,,,,,,,,,,,
Florida,1-Mar,21477737,6955,8010,9585,11111,12151,13324,14747,15455,16364,17531,18494,19355,20601,21367,22511,22897,24119,25269,25996,26600,,,,,,,,,,,
Georgia,2-Mar,10617423,4638,5348,5831,6160,6647,7314,8818,9901,10566,11483,12159,12452,13315,14223,14987,15669,17194,17669,18301,18947,,,,,,,,,,,
Hawaii,6-Mar,1415872,208,258,285,319,351,371,387,410,435,442,465,486,499,504,517,530,541,553,574,580,,,,,,,,,,,
Idaho,14-Mar,1787065,525,669,891,1013,1077,1101,1170,1210,1232,1353,1396,1407,1426,1453,1464,1587,1609,1655,1668,1672,,,,,,,,,,,
Illinois,24-Jan,12671821,6980,7695,8904,10357,11256,12262,13549,15078,16422,17887,19810,20852,22025,23247,24593,25733,27575,29160,30357,31508,,,,,,,,,,,
Indiana,6-Mar,6732219,2565,3039,3437,3953,4411,4944,5507,5943,6351,6907,7435,7928,8236,8527,8955,9542,10154,10641,11210,11686,,,,,,,,,,,
Iowa,9-Mar,3155070,549,614,699,786,868,946,1048,1145,1270,1388,1510,1587,1710,1899,1995,2141,2332,2513,2902,3159,,,,,,,,,,,
Kansas,8-Mar,2913314,482,552,620,698,747,845,900,900,1106,1166,1268,1337,1376,1426,1494,1588,1705,1790,1849,1986,,,,,,,,,,,
Kentucky,7-Mar,4467673,591,680,770,831,917,955,1008,1149,1346,1693,1693,1840,1963,2048,2210,2291,2429,2522,2707,2960,,,,,,,,,,,
Louisiana,9-Mar,4648794,6424,9150,10297,12496,13010,14867,16284,17030,18283,19253,20014,20595,21016,21518,21951,22532,23118,23580,23928,24523,,,,,,,,,,,
Maine,12-Mar,1344212,344,376,432,456,470,499,519,537,560,586,616,633,698,734,770,796,827,847,867,875,,,,,,,,,,,
Maryland,6-Mar,6045680,1985,2331,2758,3125,3609,4045,4371,5529,6185,6968,7694,8225,8936,9472,10032,10784,11572,12308,12830,13684,,,,,,,,,,,
Massachusetts,1-Feb,6939373,7738,8966,10402,11736,12500,13837,15202,16790,18941,20974,22860,25475,26867,28163,29918,32181,34402,36372,38077,38077,,,,,,,,,,,
Michigan,11-Mar,9996000,9334,10791,12744,14225,15718,17221,18970,20589,21504,22783,23993,24638,25635,27001,28059,29263,30023,30791,31424,32000,,,,,,,,,,,
Minnesota,7-Mar,5639632,689,742,789,865,935,986,1069,1154,1242,1336,1427,1621,1650,1695,1809,1912,2071,2213,2356,2470,,,,,,,,,,,
Mississippi,12-Mar,2976149,937,1073,1177,1358,1455,1638,1738,1915,2003,2260,2469,2642,2781,2942,3087,3360,3624,3793,3974,4512,,,,,,,,,,,
Missouri,8-Mar,6137428,1581,1834,2113,2291,2367,2722,3037,3327,3539,3799,4024,4160,4388,4686,4895,5111,5283,5517,5667,5807,,,,,,,,,,,
Montana,12-Mar,1068778,208,227,243,265,286,299,319,332,354,365,377,387,394,399,404,415,422,426,433,433,,,,,,,,,,,
Nebraska,7-Mar,1934408,210,246,279,321,363,409,447,519,567,635,700,791,814,871,901,952,1066,1138,1287,1474,,,,,,,,,,,
Nevada,5-Mar,3080156,1279,1458,1514,1742,1836,1953,2087,2318,2456,2584,2700,2836,2971,3088,3211,3321,3524,3636,3728,3830,,,,,,,,,,,
New Hampshire,2-Mar,1359711,415,415,479,540,621,669,715,788,788,819,885,929,985,1020,1139,1139,1287,1287,1342,1392,,,,,,,,,,,
New Jersey,4-Mar,8882190,22255,25590,29895,34124,37505,41090,44416,47437,51027,54588,58151,61850,64584,68824,71030,75317,78467,81420,85301,88806,,,,,,,,,,,
New Mexico,11-Mar,2096829,315,363,403,495,543,624,686,794,865,1091,1091,1174,1245,1345,1407,1484,1597,1711,1798,1845,,,,,,,,,,,
New York,1-Mar,19453561,83712,92381,102863,113704,122031,130689,138863,149316,159937,170512,180458,188694,195031,202208,213779,222284,229642,236732,242786,247512,,,,,,,,,,,
North Carolina,3-Mar,10488084,1584,1857,2093,2402,2585,2870,3221,3426,3651,3908,4312,4520,4816,5024,5123,5465,5859,6140,6493,6764,,,,,,,,,,,
North Dakota,12-Mar,762062,142,159,173,186,207,225,237,251,269,278,293,308,331,341,365,393,439,528,585,627,,,,,,,,,,,
Northern Mariana Islands,28-Mar,57476,2,2,6,8,8,8,8,8,11,11,11,11,11,13,13,13,13,14,14,14,,,,,,,,,,,
Ohio,9-Mar,11689100,2547,2902,3312,3739,4043,4450,4782,5148,5512,5878,6250,6604,6975,7153,7791,8414,8858,9939,11292,12516,,,,,,,,,,,
Oklahoma,7-Mar,3956971,719,879,988,1159,1252,1327,1472,1524,1684,1794,1868,1970,2069,2184,2263,2357,2465,2570,2599,2680,,,,,,,,,,,
Oregon,28-Feb,4217737,826,899,899,999,1068,1132,1181,1239,1321,1321,1371,1527,1584,1633,1663,1736,1785,1844,1910,1956,,,,,,,,,,,
Pennsylvania,6-Mar,12801989,5805,7016,8420,10017,11510,12980,14559,16239,18228,19979,21655,22833,24199,25345,26490,27735,29441,31069,32284,33232,,,,,,,,,,,
Puerto Rico,13-Mar,3193694,286,316,378,452,475,513,573,620,683,725,788,897,903,923,974,1043,1068,1118,1213,1252,,,,,,,,,,,
Rhode Island,7-Mar,1059361,566,657,711,806,922,1082,1229,1450,1727,2015,2349,2665,2976,3251,3529,3838,4177,4491,4706,5090,,,,,,,,,,,
South Carolina,7-Mar,5148714,1293,1554,1554,1917,2049,2049,2417,2552,2792,3065,3207,3319,3319,3553,3656,3656,3931,4246,4377,4377,,,,,,,,,,,
South Dakota,11-Mar,884659,129,165,187,212,240,288,320,393,447,536,626,730,868,988,1168,1311,1411,1542,1635,1685,,,,,,,,,,,
Tennessee,5-Mar,6833793,2683,2845,3067,3321,3633,3802,4138,4362,4634,4862,5114,5308,5610,5823,6079,6262,6589,6762,7070,7238,,,,,,,,,,,
Texas,4-Mar,28995881,3997,4669,5330,6110,6812,7276,8262,9353,10230,11671,12561,13484,13906,14624,15492,16455,17371,18260,18923,19458,,,,,,,,,,,
Utah,7-Mar,3205958,1012,1074,1246,1428,1605,1675,1738,1846,1976,2102,2206,2303,2363,2412,2542,2683,2805,2931,3069,3213,,,,,,,,,,,
Vermont,8-Mar,623989,321,338,389,461,512,543,575,605,628,679,711,727,748,752,759,768,779,803,812,816,,,,,,,,,,,
Virginia,8-Mar,8535519,1484,1706,2012,2407,2637,2878,3333,3645,4042,4509,5077,5274,5747,6171,6500,6889,7491,8053,8537,8990,,,,,,,,,,,
Washington,27-Feb,7614893,5634,5984,6585,6966,7591,7984,8384,8682,9608,9608,9887,10224,10411,10538,10694,10783,11152,11445,11802,11790,,,,,,,,,,,
West Virginia,17-Mar,1792147,191,217,237,282,324,345,412,462,523,554,577,611,626,640,702,739,754,785,863,920,,,,,,,,,,,
Wisconsin,5-Feb,5822434,1550,1730,1912,2112,2267,2440,2578,2756,2885,3068,3213,3341,3428,3555,3721,3875,4045,4199,4346,4499,,,,,,,,,,,
Wyoming,12-Mar,578759,130,150,162,187,197,210,216,221,230,230,261,261,275,275,287,296,296,305,309,313,,,,,,,,,,,